Songs Number,Songs Name
2,Kirin J. Callinan - Big Enough
45,Syn Cole - Feel Good
46,fripSide - Trust in You
47,fripSide - Distant Moon
48,fripSide - True Eternity
49,fripSide - Love To Sing
50,fripSide - An Evening Calm
51,fripSide - Snow Blind
53,fripSide - Transient Wind
54,fripSide - Grand Blue
88,IKU - Kanashii Seiza
95,Lensko - Let's Go
96,Tobu - Roots
97,Tobu - Mesmerize
98,TheFatRat - Rise Up 
99,Tobu - Infectious (Original Mix)
100,O-Zone - Dragostea Din Tei (Remix)
101,DJ Haning & Rizky Ayuba - You Know I'll Go Get
102,Jim Yosef - Link [NCS Release]
103,Jim Yosef - Linked
106,Jim Yosef - Firefly
107,Haxhaigeazy - One Night Stand (RAGE Book the rental wit it)
108,O-Zone - Dragostea Din Tei (Shockspears Hardstyle)
109,Dj THT Feat. Auzern - Here We Are
110,frad - first date
111,Ai Otsuka - Sakuranbo
112,Tobu - Candyland
237,QWER - Discord
N/A,Lensko - Cetus
239,ANGERME - Hakkiri Shiyou Ze
240,Morning Musume - Pepper Keibou
241,C-ute - The Power
N/A,Morning Musume - Nanchatte Renai
N/A,OLWIK - Villain (feat. Tyler Fiore)
N/A,Different Heaven - Nekozilla
N/A,Girls² - Chuwapane!
N/A,Yorushika - Spring Theif
N/A,Rosy Chronicle - Ubu to Zuru
N/A,ReservedFilterSweeps5471 - Kyassaba (Chairo Pinku Shiro)
N/A,nekodex - circles!
N/A,nekodex - osu!stream themes
900-949,Private Use
